run_id,fold_id,run_dir,baseline_run_id,baseline_run_dir,split,delta_roc_auc,delta_roc_ci_low,delta_roc_ci_high,delta_roc_p_value,delta_pr_auc,delta_pr_ci_low,delta_pr_ci_high
event10,single,runs/20251228_201836_event_counts_A3_1pct_event10,event0,runs/20251228_201743_event_counts_A3_1pct_event0,test,-0.0014728084794674023,-0.002328963810521533,-0.0006166531484132716,0.0007472077804711041,-0.0014116879089330825,-0.0032493800207761825,0.00015981546393701167
event20,single,runs/20251228_201935_event_counts_A3_1pct_event20,event0,runs/20251228_201743_event_counts_A3_1pct_event0,test,-0.0007709057449113432,-0.0016970351023104032,0.0001552236124877168,0.10279227032089366,0.00016708268012639583,-0.0016049416904212702,0.0029713771626907995
event50,single,runs/20251228_202034_event_counts_A3_1pct_event50,event0,runs/20251228_201743_event_counts_A3_1pct_event0,test,-0.00030780144110309493,-0.001091857908267399,0.00047625502606120904,0.44163568446362644,0.0008681733232647626,-0.00045720048188443855,0.0025680912232779823
event100,single,runs/20251228_202134_event_counts_A3_1pct_event100,event0,runs/20251228_201743_event_counts_A3_1pct_event0,test,-0.0008752972254587599,-0.0017866997715614064,3.6105320643886585e-05,0.05979261080632625,-0.0004599151558839043,-0.002620281554497536,0.0013233564895101773
event200,single,runs/20251228_202233_event_counts_A3_1pct_event200,event0,runs/20251228_201743_event_counts_A3_1pct_event0,test,-0.0002573407109157655,-0.0012225404175128917,0.0007078589956813607,0.6012777662716324,0.0007417497891291036,-0.0013932608666306107,0.003072332288674542
event500,single,runs/20251228_202332_event_counts_A3_1pct_event500,event0,runs/20251228_201743_event_counts_A3_1pct_event0,test,-0.0007405973514773567,-0.001744338206181419,0.0002631435032267055,0.14813952077270187,-3.5133210921821645e-05,-0.0014812358094809478,0.00176097651801778
event1000,single,runs/20251228_202435_event_counts_A3_1pct_event1000,event0,runs/20251228_201743_event_counts_A3_1pct_event0,test,-2.9689771183560865e-05,-0.0008630981053322592,0.0008037185629651374,0.9443347199388246,0.0025881449953858173,0.0003081007016856416,0.00430718504454418
