event_count,run_id,description,fold_id,run_tag,returncode,runtime_seconds,run_dir,skipped,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,best_iteration
0,event0,no event-count window,single,event_counts_A3_1pct_event0,0,53.405,runs/20251228_201743_event_counts_A3_1pct_event0,False,0.7531985609244888,0.39228759170414934,0.7470366483119131,0.35395479683594083,0.738158961747022,0.36069648327810566,191
10,event10,event window last10,single,event_counts_A3_1pct_event10,0,58.755,runs/20251228_201836_event_counts_A3_1pct_event10,False,0.7519716822629121,0.38983291842413736,0.7469740237963922,0.3523231754441207,0.7366861532675546,0.3591738671168735,171
20,event20,event window last20,single,event_counts_A3_1pct_event20,0,59.68,runs/20251228_201935_event_counts_A3_1pct_event20,False,0.7528123052983943,0.3906951030918296,0.7473716883153205,0.3525332222548896,0.7373880560021108,0.3606578693808604,178
50,event50,event window last50,single,event_counts_A3_1pct_event50,0,59.624,runs/20251228_202034_event_counts_A3_1pct_event50,False,0.7524929112681831,0.39063170431643984,0.7475137487457841,0.3539568629620054,0.737851160305919,0.3614350911065001,177
100,event100,event window last100,single,event_counts_A3_1pct_event100,0,58.561,runs/20251228_202134_event_counts_A3_1pct_event100,False,0.7514235734919367,0.38899215699334444,0.7473539070274703,0.3538247947570318,0.7372836645215634,0.3600368289228161,170
200,event200,event window last200,single,event_counts_A3_1pct_event200,0,59.659,runs/20251228_202233_event_counts_A3_1pct_event200,False,0.7521017779698007,0.39009715174400683,0.7473933286301442,0.3531493560548959,0.7379016210361062,0.36152932791666115,176
500,event500,event window last500,single,event_counts_A3_1pct_event500,0,62.958,runs/20251228_202332_event_counts_A3_1pct_event500,False,0.7559544436918737,0.3960919197652386,0.7465334224706984,0.35206868441688366,0.7374183643955446,0.36052269095274936,216
1000,event1000,event window last1000,single,event_counts_A3_1pct_event1000,0,56.048,runs/20251228_202435_event_counts_A3_1pct_event1000,False,0.7523278161379797,0.3910410178372874,0.7473609143430718,0.35451424295844025,0.7381292719758386,0.3630693146240759,177
